"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/04","12:00","0.397","-","0.658"
"2023/12/04","12:06","0.386","-","0.65"
"2023/12/04","12:12","0.374","-","0.609"
"2023/12/04","12:18","0.363","-","0.622"
"2023/12/04","12:24","0.352","-","0.608"
"2023/12/04","12:30","0.341","-","0.628"
"2023/12/04","12:36","0.33","-","0.564"
"2023/12/04","12:42","0.319","-","0.558"
"2023/12/04","12:48","0.309","-","0.567"
"2023/12/04","12:54","0.298","-","0.531"
"2023/12/04","13:00","0.287","-","0.537"
"2023/12/04","13:06","0.277","-","0.519"
"2023/12/04","13:12","0.267","-","0.485"
"2023/12/04","13:18","0.257","-","0.494"
"2023/12/04","13:24","0.248","-","0.432"
"2023/12/04","13:30","0.238","-","0.445"
"2023/12/04","13:36","0.229","-","0.489"
"2023/12/04","13:42","0.22","-","0.496"
"2023/12/04","13:48","0.212","-","0.452"
"2023/12/04","13:54","0.204","-","0.46"
"2023/12/04","14:00","0.196","-","0.458"
"2023/12/04","14:06","0.188","-","0.436"
"2023/12/04","14:12","0.181","-","0.403"
"2023/12/04","14:18","0.175","-","0.446"
"2023/12/04","14:24","0.168","-","0.42"
"2023/12/04","14:30","0.162","-","0.395"
"2023/12/04","14:36","0.157","-","0.383"
"2023/12/04","14:42","0.152","-","0.392"
"2023/12/04","14:48","0.147","-","0.358"
"2023/12/04","14:54","0.143","-","0.332"
"2023/12/04","15:00","0.139","-","0.364"
"2023/12/04","15:06","0.136","-","0.353"
"2023/12/04","15:12","0.133","-","0.351"
"2023/12/04","15:18","0.131","-","0.336"
"2023/12/04","15:24","0.129","-","0.375"
"2023/12/04","15:30","0.128","-","0.402"
"2023/12/04","15:36","0.127","-","0.387"
"2023/12/04","15:42","0.127","-","0.344"
"2023/12/04","15:48","0.127","-","0.36"
"2023/12/04","15:54","0.127","-","0.402"
"2023/12/04","16:00","0.128","-","0.389"
"2023/12/04","16:06","0.13","-","0.352"
"2023/12/04","16:12","0.132","-","0.397"
"2023/12/04","16:18","0.134","-","0.382"
"2023/12/04","16:24","0.137","-","0.418"
"2023/12/04","16:30","0.141","-","0.385"
"2023/12/04","16:36","0.144","-","0.431"
"2023/12/04","16:42","0.148","-","0.439"
"2023/12/04","16:48","0.153","-","0.413"
"2023/12/04","16:54","0.158","-","0.383"
"2023/12/04","17:00","0.163","-","0.404"
"2023/12/04","17:06","0.169","-","0.317"
"2023/12/04","17:12","0.175","-","0.592"
"2023/12/04","17:18","0.182","-","0.425"
"2023/12/04","17:24","0.188","-","0.448"
"2023/12/04","17:30","0.196","-","0.383"
"2023/12/04","17:36","0.203","-","0.557"
"2023/12/04","17:42","0.211","-","0.436"
"2023/12/04","17:48","0.219","-","0.409"
"2023/12/04","17:54","0.227","-","0.389"
"2023/12/04","18:00","0.235","-","0.469"
"2023/12/04","18:06","0.244","-","0.476"
"2023/12/04","18:12","0.253","-","0.432"
"2023/12/04","18:18","0.262","-","0.477"
"2023/12/04","18:24","0.271","-","0.499"
"2023/12/04","18:30","0.28","-","0.551"
"2023/12/04","18:36","0.289","-","0.507"
"2023/12/04","18:42","0.299","-","0.516"
"2023/12/04","18:48","0.308","-","0.556"
"2023/12/04","18:54","0.318","-","0.589"
"2023/12/04","19:00","0.328","-","0.605"
"2023/12/04","19:06","0.337","-","0.608"
"2023/12/04","19:12","0.347","-","0.595"
"2023/12/04","19:18","0.356","-","0.589"
"2023/12/04","19:24","0.366","-","0.618"
"2023/12/04","19:30","0.375","-","0.634"
"2023/12/04","19:36","0.384","-","0.635"
"2023/12/04","19:42","0.394","-","0.674"
"2023/12/04","19:48","0.403","-","0.673"
"2023/12/04","19:54","0.412","-","0.68"
"2023/12/04","20:00","0.42","-","0.675"
"2023/12/04","20:06","0.429","-","0.682"
"2023/12/04","20:12","0.437","-","0.684"
"2023/12/04","20:18","0.445","-","0.667"
"2023/12/04","20:24","0.453","-","0.701"
"2023/12/04","20:30","0.461","-","0.705"
"2023/12/04","20:36","0.468","-","0.675"
"2023/12/04","20:42","0.475","-","0.671"
"2023/12/04","20:48","0.482","-","0.67"
"2023/12/04","20:54","0.488","-","0.703"
"2023/12/04","21:00","0.494","-","0.713"
"2023/12/04","21:06","0.5","-","0.722"
"2023/12/04","21:12","0.505","-","0.736"
"2023/12/04","21:18","0.51","-","0.72"
"2023/12/04","21:24","0.515","-","0.746"
"2023/12/04","21:30","0.52","-","0.729"
"2023/12/04","21:36","0.524","-","0.72"
"2023/12/04","21:42","0.527","-","0.718"
"2023/12/04","21:48","0.53","-","0.72"
"2023/12/04","21:54","0.533","-","0.732"
"2023/12/04","22:00","0.536","-","0.761"
"2023/12/04","22:06","0.538","-","0.762"
"2023/12/04","22:12","0.54","-","0.78"
"2023/12/04","22:18","0.541","-","0.757"
"2023/12/04","22:24","0.542","-","0.756"
"2023/12/04","22:30","0.543","-","0.755"
